Gene,SNV,CNV
ADSL,4,0
ALDH7A1,24,0
ARX,13,0
ATP1A2,3,0
CDKL5,86,13
CHRNA4,3,8
CHRNA7,,11
CHRNB2,2,0
CLN3,0,8
CLN5,8,4
CLN6,8,0
CLN8,2,0
CNTNAP2,2,2
EPM2A,7,3
FOXG1,17,0
GABRA1,14,0
GABRG2,23,2
GAMT,8,0
GRIN2A,15,5
GRIN2B,2,0
KANSL1,3,0
KCNJ10,4,0
KCNQ2,144,16
KCNQ3,6,0
KCTD7,2,0
LGI1,3,0
MBD5,4,0
MECP2,43,2
MEF2C,3,1
MFSD8,2,2
NHLRC1,4,0
PCDH19,71,2
PNKP,5,1
PNPO,14,0
POLG,20,0
PPT1,6,0
PRRT2,49,0
SCARB2,2,0
SCN1A,306,10
SCN1B,9,0
SCN2A,89,5
SCN8A,30,0
SLC2A1,45,2
SLC9A6,5,0
SPTAN1,7,1
STXBP1,58,3
SYN1,1,0
TBC1D24,6,1
TCF4,6,0
TPP1,35,1
TSC1,10,0
TSC2,26,1
UBE3A,8,20
ZEB2,9,0
